pair,method,signal,period,cost,sharpe,ann_return,ann_vol,total_return,max_drawdown,n_trades,hit_rate,avg_turnover,exposure
EWA-EWC,kalman_basic,kalman_z,oos_2023_2025,tc_10bps,0.5644176681077736,0.02563091502231729,0.04677613388410523,0.06253624853128836,-0.06558125133875796,15,0.4961038961038961,0.04958447456134638,0.6374172185430463
EWA-EWC,kalman_basic,kalman_z,full_2013_2025,no_cost,0.6184056185905794,0.03718339380085012,0.0621614764807749,0.5719282021659926,-0.07382169607712755,56,0.503560528992879,0.03745051064982869,0.629724535554132
EWA-EWC,kalman_basic,kalman_z,full_2013_2025,tc_5bps,0.5420081101599318,0.03229774553937492,0.062217227642162816,0.48261486249006746,-0.07785135159920224,56,0.503560528992879,0.03745051064982869,0.629724535554132
EWA-EWC,kalman_basic,kalman_z,full_2013_2025,tc_10bps,0.46548940133852645,0.02743280460793418,0.06230749303515889,0.39833721003929545,-0.08186531778475231,56,0.503560528992879,0.03745051064982869,0.629724535554132
EWA-EWC,kalman_momentum,threshold_z,book_era_2013_2022,no_cost,-0.0354644187093546,-0.00395948916293043,0.06038733997861258,-0.03886653669073714,-0.23279080395594481,113,0.4695164681149264,0.09109960592619312,0.5667196187450357
EWA-EWC,kalman_momentum,threshold_z,book_era_2013_2022,tc_5bps,-0.22499948345900075,-0.015336664978410797,0.06053414899918142,-0.14309842758154412,-0.25749240964609776,113,0.4695164681149264,0.09109960592619312,0.5667196187450357
EWA-EWC,kalman_momentum,threshold_z,book_era_2013_2022,tc_10bps,-0.41304711556028495,-0.026589379148725056,0.060764744886550676,-0.2360697749552424,-0.2821034369455105,113,0.4695164681149264,0.09109960592619312,0.5667196187450357
EWA-EWC,kalman_momentum,threshold_z,oos_2023_2025,no_cost,0.40056710670795287,0.016338662812500626,0.04273332647179749,0.03960875574307576,-0.046116178695022124,36,0.46153846153846156,0.11890492569525662,0.5596026490066225
EWA-EWC,kalman_momentum,threshold_z,oos_2023_2025,tc_5bps,0.049651841690732765,0.0012139314429453485,0.04301037452978373,0.002912048924995192,-0.0526683054550471,36,0.46153846153846156,0.11890492569525662,0.5596026490066225
EWA-EWC,kalman_momentum,threshold_z,oos_2023_2025,tc_10bps,-0.2957553666183405,-0.01369303980560721,0.04343615629794542,-0.0325065263533002,-0.06716327182605311,36,0.46153846153846156,0.11890492569525662,0.5596026490066225
EWA-EWC,kalman_momentum,threshold_z,full_2013_2025,no_cost,0.02846179458033172,-1.5836766078969333e-05,0.057413163846484636,-0.00019618224266160222,-0.2492411476197049,148,0.4682899207248018,0.09616061303348132,0.5656630365150545
EWA-EWC,kalman_momentum,threshold_z,full_2013_2025,tc_5bps,-0.18205514618503052,-0.012068588102273958,0.05757681552137842,-0.13965856265509924,-0.2775628152331574,148,0.4682899207248018,0.09616061303348132,0.5656630365150545
EWA-EWC,kalman_momentum,threshold_z,full_2013_2025,tc_10bps,-0.39075270517029,-0.023981892170882757,0.057832978530457914,-0.25972209711429994,-0.31830371834180793,148,0.4682899207248018,0.09616061303348132,0.5656630365150545
EWA-EWC,kalman_momentum,proportional,book_era_2013_2022,no_cost,-0.25947167649975683,-0.012726217049091715,0.04537287683451768,-0.12012659529289671,-0.2020420616447293,1,0.5021851410409217,0.17573671162462098,0.9996028594122319
EWA-EWC,kalman_momentum,proportional,book_era_2013_2022,tc_5bps,-0.743371857061017,-0.03436056461248971,0.04562427506828211,-0.29486795738570926,-0.29685432915915416,1,0.4453714739769567,0.17573671162462098,0.9996028594122319
EWA-EWC,kalman_momentum,proportional,book_era_2013_2022,tc_10bps,-1.2208998624844039,-0.055524493426307386,0.04591582772005587,-0.4349278593904373,-0.4359147369123241,1,0.4139849026618991,0.17573671162462098,0.9996028594122319
EWA-EWC,kalman_momentum,proportional,oos_2023_2025,no_cost,0.8037975208811262,0.02435109148506953,0.0305101076808956,0.05936112556452078,-0.025587885557977492,1,0.5174129353233831,0.21447059585474856,0.9983443708609272
EWA-EWC,kalman_momentum,proportional,oos_2023_2025,tc_5bps,-0.08181199395210902,-0.0029597034296083846,0.03054987467291529,-0.007079234344944618,-0.04881102640260771,1,0.43781094527363185,0.21447059585474856,0.9983443708609272
EWA-EWC,kalman_momentum,proportional,oos_2023_2025,tc_10bps,-0.9626708619379685,-0.02954747461538687,0.03066742996691937,-0.06936440742569683,-0.08852560602514756,1,0.38308457711442784,0.21447059585474856,0.9983443708609272
EWA-EWC,kalman_momentum,proportional,full_2013_2025,no_cost,-0.11011972356690346,-0.005636082079257143,0.0429233863922429,-0.0676269780837313,-0.21689708290811677,1,0.5052867670618392,0.18299885901072255,0.9996796925048046
EWA-EWC,kalman_momentum,proportional,full_2013_2025,tc_5bps,-0.6440524746707678,-0.028312676817047078,0.043140223463349586,-0.29940400336716155,-0.3232796431643469,1,0.44408843319448893,0.18299885901072255,0.9996796925048046
EWA-EWC,kalman_momentum,proportional,full_2013_2025,tc_10bps,-1.1714288275363518,-0.05047604829951491,0.043402059706605205,-0.4735908917095236,-0.4843523354789558,1,0.40820249919897467,0.18299885901072255,0.9996796925048046
EWA-EWC,kalman_momentum,kalman_z,book_era_2013_2022,no_cost,-0.11149666828965031,-0.007358250853450432,0.05341809518390026,-0.07113878993992984,-0.14617234796815634,63,0.4826086956521739,0.051274348230256506,0.3653693407466243
EWA-EWC,kalman_momentum,kalman_z,book_era_2013_2022,tc_5bps,-0.23169451106977063,-0.013760248079872195,0.05358999425177408,-0.12929148322238315,-0.16603255045442447,63,0.4826086956521739,0.051274348230256506,0.3653693407466243
EWA-EWC,kalman_momentum,kalman_z,book_era_2013_2022,tc_10bps,-0.3507647927416554,-0.020124057082083424,0.053816904615373536,-0.18382925388252824,-0.19058509564255366,63,0.4826086956521739,0.051274348230256506,0.3653693407466243
EWA-EWC,kalman_momentum,kalman_z,oos_2023_2025,no_cost,0.4332811070882599,0.014036583369525957,0.033459213824501455,0.033973666294348615,-0.03676666307644533,18,0.4623115577889447,0.05876663931770507,0.3294701986754967
EWA-EWC,kalman_momentum,kalman_z,oos_2023_2025,tc_5bps,0.21096373356799966,0.006550614354720707,0.033620227203012554,0.015772572141367736,-0.0408244052572095,18,0.4623115577889447,0.05876663931770507,0.3294701986754967
EWA-EWC,kalman_momentum,kalman_z,oos_2023_2025,tc_10bps,-0.009206857432746617,-0.0008837454980289428,0.03388212559579344,-0.0021168764234941184,-0.047346993435422105,18,0.4623115577889447,0.05876663931770507,0.3294701986754967
EWA-EWC,kalman_momentum,kalman_z,full_2013_2025,no_cost,-0.039837249128436274,-0.003254600470536939,0.05017789644397832,-0.03958196915558487,-0.15171559748208177,81,0.47899910634495085,0.052723849773119724,0.3584240871236387
EWA-EWC,kalman_momentum,kalman_z,full_2013_2025,tc_5bps,-0.1716552443202391,-0.009863027419754311,0.050345997100269047,-0.11555817032740445,-0.17397059531787035,81,0.47899910634495085,0.052723849773119724,0.3584240871236387
EWA-EWC,kalman_momentum,kalman_z,full_2013_2025,tc_10bps,-0.3022352299407166,-0.016430847171707508,0.05057438044930777,-0.18555698649253116,-0.20805796172076788,81,0.47899910634495085,0.052723849773119724,0.3584240871236387
KO-PEP,rolling_ols,threshold_z,book_era_2013_2022,no_cost,0.42860521043575106,0.025619995823835007,0.0637596276880651,0.28733152743990886,-0.14289717252142858,40,0.47780126849894294,0.03400399904201928,0.7519872813990461
KO-PEP,rolling_ols,threshold_z,book_era_2013_2022,tc_5bps,0.3617071589551594,0.02123891272827505,0.06370679759233216,0.23347021533382728,-0.14893925675861883,40,0.4772727272727273,0.03400399904201928,0.7519872813990461
KO-PEP,rolling_ols,threshold_z,book_era_2013_2022,tc_10bps,0.2945578453974638,0.016874508620347672,0.06368426839437,0.1818388147226655,-0.1551154062618853,40,0.4772727272727273,0.03400399904201928,0.7519872813990461
KO-PEP,rolling_ols,threshold_z,oos_2023_2025,no_cost,0.621052797052608,0.05215978936289267,0.08807404738741466,0.12960337153328694,-0.13987785453874127,10,0.4840764331210191,0.035116220749353076,0.7798013245033113
KO-PEP,rolling_ols,threshold_z,oos_2023_2025,tc_5bps,0.571123111777145,0.04751985817927262,0.08802653688246546,0.11770045643072025,-0.14103020557444276,10,0.4840764331210191,0.035116220749353076,0.7798013245033113
KO-PEP,rolling_ols,threshold_z,oos_2023_2025,tc_10bps,0.5210111495026177,0.04289832327366305,0.08800069997087549,0.10591771577600206,-0.14218144300561866,10,0.4840764331210191,0.035116220749353076,0.7798013245033113
KO-PEP,rolling_ols,threshold_z,full_2013_2025,no_cost,0.4719960643719882,0.030705041597978155,0.06912438773532988,0.4541740336772184,-0.18245245358475143,50,0.4790520524756665,0.03421931375715698,0.7573717948717948
KO-PEP,rolling_ols,threshold_z,full_2013_2025,tc_5bps,0.40992368808195956,0.026274646388856127,0.06907335743948526,0.3786502226723152,-0.19352722755046334,50,0.4786288616165891,0.03421931375715698,0.7573717948717948
KO-PEP,rolling_ols,threshold_z,full_2013_2025,tc_10bps,0.34761913760460006,0.02186125362149971,0.069050202649366,0.3070164823935091,-0.2046206734198981,50,0.4786288616165891,0.03421931375715698,0.7573717948717948
KO-PEP,rolling_ols,proportional,book_era_2013_2022,no_cost,0.3454356591913644,0.015384983176814915,0.04745828727371129,0.1646679173823613,-0.11590574259633236,1,0.4924686192468619,0.08553987545022411,0.9499205087440381
KO-PEP,rolling_ols,proportional,book_era_2013_2022,tc_5bps,0.11844311740493131,0.004502443827174574,0.047413142821632184,0.045873137196554614,-0.13662731920262539,1,0.4661087866108787,0.08553987545022411,0.9499205087440381
KO-PEP,rolling_ols,proportional,book_era_2013_2022,tc_10bps,-0.10894610327382254,-0.006264654787103141,0.04738364851833363,-0.06081598422478118,-0.15726788715324366,1,0.44602510460251044,0.08553987545022411,0.9499205087440381
KO-PEP,rolling_ols,proportional,oos_2023_2025,no_cost,0.17494515696441565,0.008892277025196904,0.06127282787162473,0.021445756298233976,-0.11050334850457497,1,0.49087893864013266,0.09148555947114638,0.9983443708609272
KO-PEP,rolling_ols,proportional,oos_2023_2025,tc_5bps,-0.013198538306250588,-0.002666415252607357,0.061203444272830684,-0.006379034429707886,-0.11673612449355568,1,0.47761194029850745,0.09148555947114638,0.9983443708609272
KO-PEP,rolling_ols,proportional,oos_2023_2025,tc_10bps,-0.20173615571759265,-0.01409380810840255,0.061144104056098984,-0.03344850802171817,-0.1248258338198061,1,0.4560530679933665,0.09148555947114638,0.9983443708609272
KO-PEP,rolling_ols,proportional,full_2013_2025,no_cost,0.3042175753545741,0.014168368980631119,0.05041874064429943,0.19027791694356533,-0.16594454913491638,1,0.4923179692718771,0.08661396267095878,0.9596153846153846
KO-PEP,rolling_ols,proportional,full_2013_2025,tc_5bps,0.08785114368093987,0.0031634282779884337,0.05036824279453425,0.039879078157881054,-0.2011795316557582,1,0.46860387441549767,0.08661396267095878,0.9596153846153846
KO-PEP,rolling_ols,proportional,full_2013_2025,tc_10bps,-0.12891313298299326,-0.007723274908021827,0.050331967051779766,-0.09152932190898855,-0.23529460565358945,1,0.4482297929191717,0.08661396267095878,0.9596153846153846
KO-PEP,kalman_basic,threshold_z,book_era_2013_2022,no_cost,0.433340009091769,0.03444970404741565,0.08685039179321839,0.4027395946139085,-0.15196337122112757,45,0.4760914760914761,0.03696474938637006,0.7640984908657665
KO-PEP,kalman_basic,threshold_z,book_era_2013_2022,tc_5bps,0.3796362726688079,0.029641783348341555,0.08686786147904337,0.3389393262317295,-0.1594339904728643,45,0.4760914760914761,0.03696474938637006,0.7640984908657665
KO-PEP,kalman_basic,threshold_z,book_era_2013_2022,tc_10bps,0.32586169165004913,0.024853923677371714,0.08690997883343075,0.2780123858705821,-0.16684214738503522,45,0.4760914760914761,0.03696474938637006,0.7640984908657665
KO-PEP,kalman_basic,threshold_z,oos_2023_2025,no_cost,-0.33454055057206716,-0.021770737048458222,0.060359014647097455,-0.051389543070242016,-0.11422012445869346,11,0.4682203389830508,0.037020690146245795,0.7814569536423841
KO-PEP,kalman_basic,threshold_z,oos_2023_2025,tc_5bps,-0.4119067594490361,-0.026322880472285926,0.06034653323898636,-0.0619355170529986,-0.11998543575250896,11,0.4682203389830508,0.037020690146245795,0.7814569536423841
KO-PEP,kalman_basic,threshold_z,oos_2023_2025,tc_10bps,-0.48902184875285876,-0.030855965216162518,0.06036898348032923,-0.07236912237736615,-0.12571585233109148,11,0.4682203389830508,0.037020690146245795,0.7814569536423841
KO-PEP,kalman_basic,threshold_z,full_2013_2025,no_cost,0.3239945494863867,0.02358199769431568,0.08240324593166347,0.33477557561360416,-0.1566849298124632,55,0.47476011681268254,0.03665611495879252,0.767777065983344
KO-PEP,kalman_basic,threshold_z,full_2013_2025,tc_5bps,0.2679027504893815,0.018864490284881796,0.08241622012728274,0.26053092385389487,-0.1738399963598611,55,0.47476011681268254,0.03665611495879252,0.767777065983344
KO-PEP,kalman_basic,threshold_z,full_2013_2025,tc_10bps,0.21176266972526642,0.014166491488756927,0.08245486135437671,0.1903835267912366,-0.19065379668895874,55,0.47476011681268254,0.03665611495879252,0.767777065983344
KO-PEP,kalman_basic,proportional,book_era_2013_2022,no_cost,0.48376789653909286,0.028609184713823455,0.062327156347552565,0.32558247527932194,-0.12887369056019973,1,0.4954310687326182,0.0978411110899499,0.9996028594122319
KO-PEP,kalman_basic,proportional,book_era_2013_2022,tc_5bps,0.2860323003462543,0.01600817359541118,0.06231428165493339,0.1719721138208148,-0.13766104255963232,1,0.4684147794994041,0.0978411110899499,0.9996028594122319
KO-PEP,kalman_basic,proportional,book_era_2013_2022,tc_10bps,0.08819584281059407,0.0035600826745396663,0.06231492498636382,0.036147389273283315,-0.16079369952755143,1,0.45371473976956694,0.0978411110899499,0.9996028594122319
KO-PEP,kalman_basic,proportional,oos_2023_2025,no_cost,-0.8103969141062651,-0.035323469703796295,0.04322323139335829,-0.08258530511781892,-0.10807190149801331,1,0.47429519071310117,0.09434880245951466,0.9983443708609272
KO-PEP,kalman_basic,proportional,oos_2023_2025,tc_5bps,-1.0845056405776021,-0.04672704388694526,0.04326019219576424,-0.10836433679439805,-0.12455000047217206,1,0.4527363184079602,0.09434880245951466,0.9983443708609272
KO-PEP,kalman_basic,proportional,oos_2023_2025,tc_10bps,-1.3577013047970934,-0.0579969237252449,0.04331134642863474,-0.1334214316899569,-0.14601621035977752,1,0.41956882255389716,0.09434880245951466,0.9983443708609272
KO-PEP,kalman_basic,proportional,full_2013_2025,no_cost,0.2989769165430877,0.016058104227728354,0.059133789727488846,0.21818451673211703,-0.16574771798341306,1,0.49150913168856136,0.09705541670135934,0.9996796925048046
KO-PEP,kalman_basic,proportional,full_2013_2025,tc_5bps,0.0921842292409574,0.003709162420878487,0.059127853611634106,0.046935566363850656,-0.21165897875080023,1,0.46555591156680554,0.09705541670135934,0.9996796925048046
KO-PEP,kalman_basic,proportional,full_2013_2025,tc_10bps,-0.11462388331375795,-0.008491069679232188,0.05913537996227566,-0.10025516437674475,-0.2550475403906298,1,0.44729253444408845,0.09705541670135934,0.9996796925048046
KO-PEP,kalman_basic,kalman_z,book_era_2013_2022,no_cost,0.2192987915851556,0.015558129882305316,0.08801080743919161,0.1667952682545264,-0.1563640065073817,31,0.4765432098765432,0.025987369568823984,0.8042096902303415
KO-PEP,kalman_basic,kalman_z,book_era_2013_2022,tc_5bps,0.1820885992828207,0.012238105350110828,0.08801350120379958,0.12923646909789954,-0.15755218555800873,31,0.4765432098765432,0.025987369568823984,0.8042096902303415
KO-PEP,kalman_basic,kalman_z,book_era_2013_2022,tc_10bps,0.14485292294213117,0.008927392891561858,0.0880330636586413,0.09286999097291382,-0.1587391191718631,31,0.4765432098765432,0.025987369568823984,0.8042096902303415
KO-PEP,kalman_basic,kalman_z,oos_2023_2025,no_cost,-0.9149887349471058,-0.06002514355598165,0.06531534334991922,-0.13788676283472168,-0.19280779194302763,11,0.469061876247505,0.03721166435197767,0.8294701986754967
KO-PEP,kalman_basic,kalman_z,oos_2023_2025,tc_5bps,-0.98611419708358,-0.06442583421835346,0.06535903578240941,-0.14752913369372278,-0.19728821869129176,11,0.469061876247505,0.03721166435197767,0.8294701986754967
KO-PEP,kalman_basic,kalman_z,oos_2023_2025,tc_10bps,-1.0566246338221223,-0.06880796727566829,0.06543491471609605,-0.15706809600610383,-0.20174577982554395,11,0.469061876247505,0.03721166435197767,0.8294701986754967
KO-PEP,kalman_basic,kalman_z,full_2013_2025,no_cost,0.0505807310326148,0.0007255328107496073,0.08411972610114442,0.009025775072949438,-0.19280779194302933,41,0.4752671151563118,0.027839428872847943,0.8094170403587444
KO-PEP,kalman_basic,kalman_z,full_2013_2025,tc_5bps,0.008880011745731109,-0.002779486757940708,0.08412930341443615,-0.03389494388702974,-0.2007644668653538,41,0.4752671151563118,0.027839428872847943,0.8094170403587444
KO-PEP,kalman_basic,kalman_z,full_2013_2025,tc_10bps,-0.032803862269648675,-0.006273856877862083,0.0841577376714197,-0.07500871362589889,-0.21442894951977537,41,0.4752671151563118,0.027839428872847943,0.8094170403587444
KO-PEP,kalman_momentum,threshold_z,book_era_2013_2022,no_cost,0.4083901519537785,0.02784832058198039,0.07394869634095858,0.315817418922516,-0.17734913636655736,94,0.49229781771501924,0.07630255683153458,0.6187450357426529
KO-PEP,kalman_momentum,threshold_z,book_era_2013_2022,tc_5bps,0.27798700021451556,0.018006585457267965,0.07405309298207827,0.19521039569712273,-0.18332896867308157,94,0.49229781771501924,0.07630255683153458,0.6187450357426529
KO-PEP,kalman_momentum,threshold_z,book_era_2013_2022,tc_10bps,0.1478346912420118,0.008254332477729776,0.07421583473908751,0.0856069985321144,-0.1892681862395056,94,0.49229781771501924,0.07630255683153458,0.6187450357426529
KO-PEP,kalman_momentum,threshold_z,oos_2023_2025,no_cost,-0.5400807788251184,-0.030732938779621133,0.054996126788669004,-0.0720868553074242,-0.12146744341948634,22,0.45194805194805193,0.07316092469753682,0.6374172185430463
KO-PEP,kalman_momentum,threshold_z,oos_2023_2025,tc_5bps,-0.7079164705167107,-0.039627246637981006,0.0549791241216222,-0.09236478172818141,-0.13843124879926091,22,0.45194805194805193,0.07316092469753682,0.6374172185430463
